support_num,ckpt_support_num,ckpt_iter_num,step,IoU,Acc,Dice
10,0,0,80,79.59,88.63,88.63
10,0,0,80,79.59,88.63,88.63
10,0,0,80,83.73,91.14,91.14
10,0,0,80,80.55,89.23,89.23
10,0,0,80,80.77,89.36,89.36
10,0,0,80,80.91,89.44,89.44
10,0,0,80,78.09,87.7,87.7
10,0,0,80,74.78,85.57,85.57
10,0,0,80,80.02,88.9,88.9
10,0,0,80,79.57,88.62,88.62
10,0,0,80,79.97,88.87,88.87
10,0,0,80,77.26,87.17,87.17
10,0,0,80,77.26,87.17,87.17
10,0,0,80,83.12,90.78,90.78
10,0,0,80,76.66,86.79,86.79
10,0,0,90,76.66,86.79,86.79
10,0,0,90,81.23,89.64,89.64
10,0,0,90,82.39,90.35,90.35
10,0,0,90,80.58,89.25,89.25
10,0,0,90,84.0,91.31,91.31
10,0,0,90,77.56,87.36,87.36
10,0,0,90,80.18,89.0,89.0
10,0,0,90,84.03,91.32,91.32
10,0,0,90,78.34,87.86,87.86
10,0,0,90,78.03,87.66,87.66
10,0,0,90,80.61,89.27,89.27
10,0,0,90,76.96,86.98,86.98
10,0,0,90,79.11,88.33,88.33
10,0,0,90,78.0,87.64,87.64
10,0,0,90,74.97,85.69,85.69
10,0,0,90,82.78,90.58,90.58
10,0,0,90,82.44,90.38,90.38
100,0,0,0,81.04,89.53,89.53
100,0,0,10,86.96,93.02,93.02
100,0,0,20,82.44,90.37,90.37
100,0,0,30,83.29,90.89,90.89
100,0,0,40,83.17,90.81,90.81
100,0,0,50,82.84,90.61,90.61
100,0,0,60,85.19,92.0,92.0
100,0,0,70,86.13,92.55,92.55
100,0,0,80,86.82,92.95,92.95
100,0,0,90,86.62,92.83,92.83
200,0,0,0,81.89,90.04,90.04
200,0,0,10,84.76,91.75,91.75
200,0,0,20,79.87,88.81,88.81
200,0,0,30,84.83,91.8,91.8
200,0,0,40,83.73,91.14,91.14
200,0,0,50,84.39,91.54,91.54
200,0,0,60,85.61,92.25,92.25
200,0,0,70,83.11,90.78,90.78
200,0,0,80,87.98,93.61,93.61
200,0,0,90,83.68,91.11,91.11
500,0,0,0,82.24,90.26,90.26
500,0,0,10,84.65,91.69,91.69
500,0,0,20,75.83,86.26,86.26
500,0,0,30,81.43,89.76,89.76
500,0,0,40,85.63,92.26,92.26
500,0,0,50,85.61,92.25,92.25
500,0,0,60,88.08,93.66,93.66
500,0,0,70,88.14,93.69,93.69
500,0,0,80,88.82,94.08,94.08
500,0,0,90,82.97,90.69,90.69
10,100,20,0,87.06,93.08,93.08
10,100,20,10,83.72,91.14,91.14
10,100,20,20,82.56,90.45,90.45
10,100,20,30,82.91,90.66,90.66
10,100,20,40,81.94,90.08,90.08
10,100,20,50,85.33,92.08,92.08
10,100,20,60,81.99,90.1,90.1
10,100,20,70,85.5,92.19,92.19
10,100,20,80,81.31,89.69,89.69
10,100,20,90,81.53,89.83,89.83
100,100,20,0,85.42,92.14,92.14
100,100,20,10,86.21,92.59,92.59
100,100,20,20,87.19,93.15,93.15
100,100,20,30,85.28,92.06,92.06
100,100,20,40,88.05,93.64,93.64
100,100,20,50,88.01,93.62,93.62
100,100,20,60,84.92,91.85,91.85
100,100,20,70,84.43,91.56,91.56
100,100,20,80,82.35,90.32,90.32
100,100,20,90,85.88,92.4,92.4
200,100,20,0,83.16,90.81,90.81
200,100,20,10,87.14,93.13,93.13
200,100,20,20,84.79,91.77,91.77
200,100,20,30,87.87,93.54,93.54
200,100,20,40,88.35,93.81,93.81
200,100,20,50,85.04,91.92,91.92
200,100,20,60,88.04,93.64,93.64
200,100,20,70,85.53,92.2,92.2
200,100,20,80,87.6,93.39,93.39
200,100,20,90,83.12,90.78,90.78
500,100,20,0,81.17,89.61,89.61
500,100,20,10,86.06,92.51,92.51
500,100,20,20,81.54,89.83,89.83
500,100,20,30,86.4,92.71,92.71
500,100,20,40,84.59,91.65,91.65
500,100,20,50,86.46,92.74,92.74
500,100,20,60,87.25,93.19,93.19
500,100,20,70,86.37,92.69,92.69
500,100,20,80,87.16,93.14,93.14
500,100,20,90,86.94,93.01,93.01
10,100,30,0,84.57,91.64,91.64
10,100,30,10,85.13,91.97,91.97
10,100,30,20,84.3,91.48,91.48
10,100,30,30,84.83,91.79,91.79
10,100,30,40,84.11,91.37,91.37
10,100,30,50,83.79,91.18,91.18
10,100,30,60,80.48,89.19,89.19
